classe,chemin,split
metal,..\data\cleaned\metal\metal45.jpg,train
glass,..\data\cleaned\glass\glass8.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard17.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard139.jpg,train
paper,..\data\cleaned\paper\paper116.jpg,train
glass,..\data\cleaned\glass\glass46.jpg,train
glass,..\data\cleaned\glass\glass83.jpg,train
plastic,..\data\cleaned\plastic\plastic154.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard48.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard9.jpg,train
paper,..\data\cleaned\paper\paper15.jpg,train
glass,..\data\cleaned\glass\glass30.jpg,train
metal,..\data\cleaned\metal\metal78.jpg,train
paper,..\data\cleaned\paper\paper22.jpg,train
paper,..\data\cleaned\paper\paper101.jpg,train
metal,..\data\cleaned\metal\metal23.jpg,train
plastic,..\data\cleaned\plastic\plastic165.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard25.jpg,train
metal,..\data\cleaned\metal\metal44.jpg,train
paper,..\data\cleaned\paper\paper117.jpg,train
glass,..\data\cleaned\glass\glass177.jpg,train
plastic,..\data\cleaned\plastic\plastic56.jpg,train
metal,..\data\cleaned\metal\metal16.jpg,train
paper,..\data\cleaned\paper\paper218.jpg,train
plastic,..\data\cleaned\plastic\plastic137.jpg,train
paper,..\data\cleaned\paper\paper49.jpg,train
paper,..\data\cleaned\paper\paper67.jpg,train
glass,..\data\cleaned\glass\glass103.jpg,train
paper,..\data\cleaned\paper\paper65.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard135.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard66.jpg,train
paper,..\data\cleaned\paper\paper103.jpg,train
glass,..\data\cleaned\glass\glass88.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard129.jpg,train
metal,..\data\cleaned\metal\metal4.jpg,train
glass,..\data\cleaned\glass\glass92.jpg,train
glass,..\data\cleaned\glass\glass137.jpg,train
paper,..\data\cleaned\paper\paper19.jpg,train
glass,..\data\cleaned\glass\glass151.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard128.jpg,train
plastic,..\data\cleaned\plastic\plastic10.jpg,train
plastic,..\data\cleaned\plastic\plastic163.jpg,train
plastic,..\data\cleaned\plastic\plastic199.jpg,train
paper,..\data\cleaned\paper\paper71.jpg,train
paper,..\data\cleaned\paper\paper56.jpg,train
paper,..\data\cleaned\paper\paper243.jpg,train
plastic,..\data\cleaned\plastic\plastic179.jpg,train
paper,..\data\cleaned\paper\paper48.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard85g.jpg,train
plastic,..\data\cleaned\plastic\plastic209.jpg,train
metal,..\data\cleaned\metal\metal25.jpg,train
trash,..\data\cleaned\trash\trash22.jpg,train
glass,..\data\cleaned\glass\glass84.jpg,train
metal,..\data\cleaned\metal\metal22.jpg,train
paper,..\data\cleaned\paper\paper50.jpg,train
glass,..\data\cleaned\glass\glass73.jpg,train
trash,..\data\cleaned\trash\trash20.jpg,train
metal,..\data\cleaned\metal\metal95.jpg,train
paper,..\data\cleaned\paper\paper191.jpg,train
paper,..\data\cleaned\paper\paper234.jpg,train
plastic,..\data\cleaned\plastic\plastic14.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard75.jpg,train
glass,..\data\cleaned\glass\glass165.jpg,train
plastic,..\data\cleaned\plastic\plastic7.jpg,train
plastic,..\data\cleaned\plastic\plastic198.jpg,train
paper,..\data\cleaned\paper\paper111.jpg,train
paper,..\data\cleaned\paper\paper223.jpg,train
metal,..\data\cleaned\metal\metal42.jpg,train
trash,..\data\cleaned\trash\trash41.jpg,train
paper,..\data\cleaned\paper\paper44.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard74.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard40.jpg,train
paper,..\data\cleaned\paper\paper240.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard143.jpg,train
glass,..\data\cleaned\glass\glass25.jpg,train
glass,..\data\cleaned\glass\glass31.jpg,train
plastic,..\data\cleaned\plastic\plastic119.jpg,train
paper,..\data\cleaned\paper\paper157.jpg,train
paper,..\data\cleaned\paper\paper249.jpg,train
glass,..\data\cleaned\glass\glass133.jpg,train
glass,..\data\cleaned\glass\glass35.jpg,train
glass,..\data\cleaned\glass\glass109.jpg,train
paper,..\data\cleaned\paper\paper31.jpg,train
paper,..\data\cleaned\paper\paper235.jpg,train
metal,..\data\cleaned\metal\metal59.jpg,train
paper,..\data\cleaned\paper\paper8.jpg,train
trash,..\data\cleaned\trash\trash28.jpg,train
glass,..\data\cleaned\glass\glass171.jpg,train
plastic,..\data\cleaned\plastic\plastic106.jpg,train
plastic,..\data\cleaned\plastic\plastic216.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard116.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard51.jpg,train
metal,..\data\cleaned\metal\metal40.jpg,train
metal,..\data\cleaned\metal\metal82.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard60.jpg,train
plastic,..\data\cleaned\plastic\plastic161.jpg,train
glass,..\data\cleaned\glass\glass174.jpg,train
metal,..\data\cleaned\metal\metal36.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard28.jpg,train
plastic,..\data\cleaned\plastic\plastic47.jpg,train
metal,..\data\cleaned\metal\metal101.jpg,train
plastic,..\data\cleaned\plastic\plastic65.jpg,train
plastic,..\data\cleaned\plastic\plastic214.jpg,train
glass,..\data\cleaned\glass\glass147.jpg,train
glass,..\data\cleaned\glass\glass77.jpg,train
glass,..\data\cleaned\glass\glass36.jpg,train
glass,..\data\cleaned\glass\glass62.jpg,train
plastic,..\data\cleaned\plastic\plastic28.jpg,train
plastic,..\data\cleaned\plastic\plastic35.jpg,train
plastic,..\data\cleaned\plastic\plastic215.jpg,train
glass,..\data\cleaned\glass\glass176.jpg,train
metal,..\data\cleaned\metal\metal128.jpg,train
plastic,..\data\cleaned\plastic\plastic168.jpg,train
paper,..\data\cleaned\paper\paper192.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard155.jpg,train
paper,..\data\cleaned\paper\paper196.jpg,train
plastic,..\data\cleaned\plastic\plastic208.jpg,train
glass,..\data\cleaned\glass\glass145.jpg,train
paper,..\data\cleaned\paper\paper187.jpg,train
glass,..\data\cleaned\glass\glass157.jpg,train
paper,..\data\cleaned\paper\paper209.jpg,train
metal,..\data\cleaned\metal\metal61.jpg,train
plastic,..\data\cleaned\plastic\plastic21.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard121.jpg,train
paper,..\data\cleaned\paper\paper87.jpg,train
paper,..\data\cleaned\paper\paper197.jpg,train
plastic,..\data\cleaned\plastic\plastic34.jpg,train
glass,..\data\cleaned\glass\glass132.jpg,train
paper,..\data\cleaned\paper\paper62.jpg,train
plastic,..\data\cleaned\plastic\plastic115.jpg,train
plastic,..\data\cleaned\plastic\plastic204.jpg,train
glass,..\data\cleaned\glass\glass107.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard161.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard67.jpg,train
trash,..\data\cleaned\trash\trash35.jpg,train
paper,..\data\cleaned\paper\paper69.jpg,train
glass,..\data\cleaned\glass\glass3.jpg,train
glass,..\data\cleaned\glass\glass58.jpg,train
glass,..\data\cleaned\glass\glass155.jpg,train
plastic,..\data\cleaned\plastic\plastic82.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard11.jpg,train
paper,..\data\cleaned\paper\paper214.jpg,train
plastic,..\data\cleaned\plastic\plastic188.jpg,train
plastic,..\data\cleaned\plastic\plastic170.jpg,train
plastic,..\data\cleaned\plastic\plastic61.jpg,train
metal,..\data\cleaned\metal\metal92.jpg,train
trash,..\data\cleaned\trash\trash6.jpg,train
paper,..\data\cleaned\paper\paper195.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard141.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard80.jpg,train
plastic,..\data\cleaned\plastic\plastic143.jpg,train
glass,..\data\cleaned\glass\glass49.jpg,train
plastic,..\data\cleaned\plastic\plastic108.jpg,train
paper,..\data\cleaned\paper\paper38.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard55.jpg,train
paper,..\data\cleaned\paper\paper136.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard39.jpg,train
glass,..\data\cleaned\glass\glass6g.jpg,train
metal,..\data\cleaned\metal\metal38.jpg,train
metal,..\data\cleaned\metal\metal30.jpg,train
glass,..\data\cleaned\glass\glass87.jpg,train
paper,..\data\cleaned\paper\paper13.jpg,train
plastic,..\data\cleaned\plastic\plastic76.jpg,train
metal,..\data\cleaned\metal\metal69.jpg,train
metal,..\data\cleaned\metal\metal12.jpg,train
plastic,..\data\cleaned\plastic\plastic69.jpg,train
plastic,..\data\cleaned\plastic\plastic153.jpg,train
plastic,..\data\cleaned\plastic\plastic192.jpg,train
glass,..\data\cleaned\glass\glass134.jpg,train
paper,..\data\cleaned\paper\paper203.jpg,train
paper,..\data\cleaned\paper\paper219.jpg,train
metal,..\data\cleaned\metal\metal77.jpg,train
glass,..\data\cleaned\glass\glass116.jpg,train
